"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
500,"sine",TRUE,16124,"BIC","GCV",TRUE,"pkg","pkg_refined",1.83299999999872,0.0276630836777568,0.992122515969627,0.67,0.65674398277988,0.674,0.659549312146696,0.95,1.28439171315812,4.24435880063482,4.00935094563932,5000,5000,16001,56
1000,"sine",TRUE,16125,"BIC","GCV",TRUE,"pkg","pkg_refined",0.367000000002008,0.030774319869923,0.935075131825131,0.701,0.657651108034511,0.702,0.659104017605778,0.949,1.28616577457382,4.40388310926105,6.60743350813321,5000,0.630681861018723,16002,56
200,"smooth",FALSE,16126,"AIC","GCV",TRUE,"pkg","pkg_refined",1.30299999999988,0.0991655548305852,3.20127838850792,0.745,0.753809636876606,0.755,0.774430602378621,0.95,1.42651317358294,10.5091030566189,20.0706161018966,56.1552250916477,5e-05,16003,56
500,"smooth",FALSE,16127,"AIC","GCV",TRUE,"pkg","pkg_refined",1.21000000000276,0.0403569091145521,1.07999831823846,0.656,0.59574844977421,0.66,0.598867866428853,0.944,1.221661378018,5.19529120092637,2.6925737844838,5000,5000,16004,56
1000,"smooth",FALSE,16128,"AIC","GCV",TRUE,"pkg","pkg_refined",0.264000000002852,0.0200690227031914,0.871011744144461,0.712,0.689742062166341,0.713,0.691677762815574,0.953,1.23978952946355,5.58928597472039,3.24232433292866,5000,3142.60163462006,16005,56
200,"piecewise",FALSE,16129,"AIC","GCV",TRUE,"pkg","pkg_refined",0.587999999999738,0.102743016608489,1.32131810368881,0.67,0.671403126219957,0.68,0.678689980102644,0.95,1.41929521618649,4.27160418308906,2.41106067500439,5000,5000,16006,56
500,"piecewise",FALSE,16130,"AIC","GCV",TRUE,"pkg","pkg_refined",0.253000000000611,0.0252833096442873,1.14547911252847,0.702,0.782356068493807,0.706,0.787350111886139,0.952,1.53005079218093,6.32273479269747,2.74802376617259,1063.41087364811,4282.95107684275,16007,56
1000,"piecewise",FALSE,16131,"AIC","GCV",TRUE,"pkg","pkg_refined",1.98300000000017,0.0285593618711689,1.09784131591673,0.71,0.806175512874604,0.71,0.808455122862924,0.951,1.52561062246523,5.6314726871793,14.8665334934543,3668.7339853257,0.540235911159066,16008,56
200,"sine",FALSE,16132,"AIC","GCV",TRUE,"pkg","pkg_refined",0.726999999998952,0.0492248861745006,1.04114439000145,0.685,0.562336709344796,0.69,0.569948248508028,0.95,1.24212349089452,5.30624691233783,2.37236423634245,1975.18900678333,5000,16009,56
500,"sine",FALSE,16133,"AIC","GCV",TRUE,"pkg","pkg_refined",0.32300000000032,0.0293612278958041,0.841181009218555,0.69,0.668482035088072,0.696,0.672410196082974,0.952,1.2227297983573,5.82484873858491,5.14083122769244,2305.87388385414,121.765603671671,16010,56
1000,"sine",FALSE,16134,"AIC","GCV",TRUE,"pkg","pkg_refined",0.777999999998428,0.0326470919412532,0.906201712229143,0.704,0.631098936673121,0.706,0.633441473919754,0.951,1.21426630853563,7.38254812029252,5.06592122861557,1449.28860732554,264.033528729132,16011,56
200,"smooth",TRUE,16135,"AIC","GCV",TRUE,"pkg","pkg_refined",1.04200000000128,0.0426044943253232,0.916298400796188,0.64,0.587905067759175,0.645,0.594049096993946,0.955,1.14976370846573,4.11565848297722,4.16795093284207,5000,76.5321570278181,16012,56
500,"smooth",TRUE,16136,"AIC","GCV",TRUE,"pkg","pkg_refined",1.72899999999936,0.0496164391319834,0.946114656649581,0.696,0.604583247783126,0.696,0.607172160838727,0.95,1.16324878054475,4.25479693231674,4.00803704026438,5000,5000,16013,56
1000,"smooth",TRUE,16137,"AIC","GCV",TRUE,"pkg","pkg_refined",2.17499999999927,0.010606812209455,0.907293525063593,0.713,0.671105202757949,0.714,0.672576126919233,0.95,1.24876537728378,4.36921854049244,4.76740612987423,5000,41.2037165494684,16014,56
200,"piecewise",TRUE,16138,"AIC","GCV",TRUE,"pkg","pkg_refined",1.46199999999953,0.0911523265443653,1.25067730590584,0.695,0.870324176678622,0.72,0.87932619845827,0.95,1.78471540027768,4.0740036200827,4.14280452696433,5000,89.3451216867916,16015,56
500,"piecewise",TRUE,16139,"AIC","GCV",TRUE,"pkg","pkg_refined",0.882999999997992,0.0437491140998177,1.02963639221838,0.726,0.955332546523857,0.728,0.960008151473203,0.946,1.65671593511099,4.85852116431183,8.69106427960059,308.237852816859,0.0179304774100592,16016,56
1000,"piecewise",TRUE,16140,"AIC","GCV",TRUE,"pkg","pkg_refined",1.3839999999982,0.0531336116632363,1.04184570779621,0.714,0.82772161881778,0.714,0.830744291778941,0.949,1.48780341610285,7.26378595839204,4.83628480333048,5.50790969367951,35.2947004330938,16017,56
200,"sine",TRUE,16141,"AIC","GCV",TRUE,"pkg","pkg_refined",1.53499999999985,0.0468764280673495,0.661738905356493,0.715,0.631848765064365,0.73,0.638410336751382,0.945,1.05574730365185,4.09006749451273,4.00279553231748,5000,5000,16018,56
500,"sine",TRUE,16142,"AIC","GCV",TRUE,"pkg","pkg_refined",0.207999999998719,0.0521878468405765,0.825549464586265,0.724,0.683620877812014,0.728,0.686511832062903,0.946,1.25042046637767,4.20221150904106,4.77925571649729,5000,19.0021147818295,16019,56
1000,"sine",TRUE,16143,"AIC","GCV",TRUE,"pkg","pkg_refined",0.295000000001892,0.0183055448155957,0.773656792069178,0.733,0.681934794910988,0.736,0.684018510521008,0.952,1.20417599860864,6.08329196884499,4.01756515640547,65.5566968710783,5000,16020,56
200,"smooth",FALSE,16144,"GCV","GCV",TRUE,"pkg","pkg_refined",1.29499999999825,0.153818813083891,1.19648809397903,0.71,0.66571952132898,0.725,0.699247727997214,0.95,1.47048172749249,18.7197673489103,17.4753155448092,0.630681861018723,0.0244368731581222,16021,56
500,"smooth",FALSE,16145,"GCV","GCV",TRUE,"pkg","pkg_refined",0.302999999999884,0.0432258930669529,0.840827057157291,0.722,0.647119946133847,0.724,0.6504931922586,0.95,1.22461306262038,5.17223014268606,2.81857374785288,4282.95107684275,3668.7339853257,16022,56
1000,"smooth",FALSE,16146,"GCV","GCV",TRUE,"pkg","pkg_refined",1.26900000000023,0.012526523449522,0.989838006728424,0.694,0.650605214535736,0.696,0.652468098588364,0.949,1.23120860219105,5.70211782247,5.85093912756771,5000,121.765603671671,16023,56
200,"piecewise",FALSE,16147,"GCV","GCV",TRUE,"pkg","pkg_refined",1.3169999999991,0.273908566040562,1.58748596004716,0.715,0.924211176518775,0.745,0.97781061989763,0.95,1.83672347738541,21.3253557880392,19.8360324299748,5e-05,0.000811061969564587,16024,56
500,"piecewise",FALSE,16148,"GCV","GCV",TRUE,"pkg","pkg_refined",0.984999999996944,0.0475355827785843,0.986638368360776,0.73,0.849356149098402,0.732,0.853371717897002,0.948,1.47293408134786,4.69446300148328,12.2580375423004,5000,1.00343908383249,16025,56
1000,"piecewise",FALSE,16149,"GCV","GCV",TRUE,"pkg","pkg_refined",2.03000000000247,0.0711163113352214,1.16755785108913,0.68,0.764092269749403,0.686,0.77111627520893,0.95,1.49433235033269,18.1347889006283,8.80077677096001,1.86379686015747,13.9427408586315,16026,56
200,"sine",FALSE,16150,"GCV","GCV",TRUE,"pkg","pkg_refined",0.636000000002241,0.0616615171288281,0.768360790326241,0.705,0.556874342462837,0.71,0.565950266845819,0.945,1.12432224839016,6.36321089679369,5.14387110935551,910.907349283491,48.1020163553239,16027,56
500,"sine",FALSE,16151,"GCV","GCV",TRUE,"pkg","pkg_refined",0.606999999999971,0.015747024236001,0.809038069927638,0.698,0.649257622747039,0.7,0.653095871966763,0.95,1.1670200307605,5.85973871173989,4.30994345707931,2305.87388385414,308.237852816859,16028,56
